Time_s,L5S1 (low back / sacrum),RLAKN (right knee),RASIS (right hip / pelvis),RLAMA (right ankle),RDIFT (right toe / forefoot)
0.976,989.21405,507.900665,975.411621,87.505836,81.552551
0.98,988.65863,505.351288,974.892029,87.636627,84.415237
0.984,988.450256,502.828918,974.042664,87.485512,87.541588
0.988,988.508362,502.079346,973.23291,87.271141,90.461349
0.992,988.06366,501.223297,972.680054,87.692429,92.977859
0.996,986.456116,500.773712,972.300171,88.036003,95.500984
1.0,985.388489,498.289032,971.939026,87.512222,97.916306
1.004,984.962708,497.35498,970.934326,89.227089,100.273689
1.008,984.662476,495.566559,969.927734,88.991776,102.831573
1.012,984.289734,495.647369,969.652954,88.711006,105.437164
1.016,983.63446,493.418793,969.130615,87.862839,108.138184
1.02,982.438416,492.732452,968.412415,87.278603,107.489304
1.024,982.207336,492.051514,968.037842,87.699318,110.143143
1.028,982.400879,491.084961,967.657593,88.393929,109.243652
1.032,980.756531,490.327637,967.119934,86.831673,109.796761
1.036,980.062988,489.530762,966.596252,87.245674,109.595512
1.04,979.798584,488.780548,966.130676,86.919243,107.56131
1.044,979.045593,488.281799,965.548523,85.61705,105.428673
1.048,979.857971,487.767792,964.90741,84.046783,103.910423
1.052,980.249695,487.471436,964.807861,82.899834,101.352745
1.056,977.404358,487.042633,964.916077,81.439011,98.29425
1.06,977.670837,486.515991,964.480591,79.021736,95.60334
